what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1643680598885
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1643680598885
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1643680598886
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1643680598887
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1643680598888
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1643680598888
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1643680598889
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1643680598890
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1643680598891
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1643680598893
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1643680598894
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1643680598907
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1643680598908
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1643680598909
os,sysinfo,,,"win32",1643680598912
arch,sysinfo,,,"x86",1643680598912
ws,sysinfo,,,"win32",1643680598912
locale,sysinfo,,,"en_US",1643680598912
processors,sysinfo,,,"8",1643680598912
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1643680598912
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1643680598912
java.specification.name,sysinfo,,,"Java Platform API Specification",1643680598912
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1643680598912
java.specification.version,sysinfo,,,"1.6",1643680598912
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1643680598912
java.version,sysinfo,,,"1.6.0_23",1643680598912
java.vm.info,sysinfo,,,"mixed mode",1643680598912
